Employee_ID,Department,Job_Level,Age,Gender,Employment_Type,Years_At_Company,Years_In_Current_Role,Num_Promotions,Last_Promotion_Years_Ago,Annual_Salary_USD,Performance_Score,Job_Satisfaction_Score,Work_Life_Balance_Score,Overtime_Hours_Monthly,Distance_From_Office_KM,Num_Trainings_Last_Year,Remote_Work_Percentage,Attrition
EMP-010110,HR,Lead,35,Non-Binary,Full-Time,4,2,1,7,121508,3,2,2,3,39,1,50,1
EMP-010111,Operations,Senior,49,Male,Full-Time,17,7,4,1,99404,4,5,3,20,1,1,100,0
EMP-010112,Product,Mid,32,Male,Full-Time,6,2,1,3,93985,4,2,2,5,11,1,0,0
EMP-010113,Sales,Junior,44,Male,Full-Time,3,1,0,15,50142,4,5,4,25,6,4,25,0
EMP-010114,Sales,Lead,43,Non-Binary,Full-Time,10,5,0,0,126947,3,1,3,4,14,1,50,0
EMP-010115,Sales,Senior,35,Non-Binary,Contract,3,1,0,1,92506,3,4,1,8,28,3,25,0
EMP-010116,Operations,Junior,34,Male,Part-Time,6,5,1,1,55419,3,2,1,4,7,1,100,0
EMP-010117,Marketing,Senior,37,Male,Full-Time,2,0,0,0,113096,4,4,4,11,24,2,75,0
EMP-010118,Sales,Senior,44,Male,Full-Time,3,1,0,10,91686,4,3,4,8,19,4,25,0
EMP-010119,HR,Director,38,Female,Full-Time,11,5,2,3,189323,4,3,4,3,3,1,0,0
EMP-010120,Product,Lead,48,Male,Full-Time,4,2,0,1,123604,3,3,2,26,5,2,0,0
EMP-010121,Sales,Junior,31,Female,Contract,3,2,0,0,55512,4,3,4,12,34,1,25,0
EMP-010122,Operations,Manager,46,Male,Part-Time,13,8,1,0,141737,4,1,4,1,34,1,50,0
EMP-010123,Marketing,Mid,22,Male,Part-Time,6,3,0,15,91806,4,4,4,10,56,8,75,1
EMP-010124,Legal,Director,38,Female,Full-Time,6,5,1,0,132638,4,5,3,37,29,2,25,0
EMP-010125,Finance,Mid,38,Male,Contract,6,2,1,0,92409,2,4,4,16,66,4,25,0
EMP-010126,Marketing,Manager,25,Male,Full-Time,10,8,1,2,163817,3,3,2,4,16,0,0,0
EMP-010127,Customer Support,Mid,46,Male,Part-Time,6,2,0,1,68628,3,2,2,14,7,3,75,0
EMP-010128,Finance,Senior,32,Female,Full-Time,8,4,2,0,89523,3,3,2,10,4,3,0,1
EMP-010129,Operations,Senior,39,Female,Full-Time,6,5,1,4,114165,4,4,1,15,2,4,50,0
EMP-010130,Operations,Senior,26,Female,Full-Time,4,1,0,0,133489,4,3,5,21,7,3,75,0
EMP-010131,Product,Mid,36,Female,Full-Time,7,5,1,3,74606,3,4,4,17,12,2,0,0
EMP-010132,Engineering,Junior,28,Female,Full-Time,5,3,0,7,49009,4,5,3,5,3,4,100,0
EMP-010133,Marketing,Manager,45,Female,Part-Time,8,4,1,2,147524,3,3,4,7,7,1,25,0
EMP-010134,Finance,Senior,35,Female,Contract,8,4,1,0,66676,3,2,4,8,44,2,25,0
EMP-010135,Product,Manager,31,Male,Full-Time,7,6,1,6,130743,2,3,2,16,11,1,100,1
EMP-010136,Engineering,Senior,43,Male,Full-Time,4,3,1,3,121703,4,4,4,33,70,3,50,0
EMP-010137,Sales,Senior,37,Male,Contract,4,1,1,2,75503,4,4,4,4,22,3,75,0
EMP-010138,Product,Junior,39,Male,Full-Time,4,2,0,2,66547,4,3,3,25,1,3,75,0
EMP-010139,Finance,Junior,41,Female,Full-Time,5,2,0,3,49588,5,3,4,8,13,4,25,0
EMP-010140,Operations,Mid,36,Female,Full-Time,13,7,2,1,77662,3,4,2,18,1,3,75,0
EMP-010141,Finance,Junior,30,Male,Contract,9,5,1,2,57472,4,3,4,6,16,5,75,0
EMP-010142,Legal,Senior,38,Non-Binary,Full-Time,6,3,0,0,86761,5,3,1,17,5,2,50,0
EMP-010143,Engineering,Mid,37,Female,Contract,5,2,0,3,91977,3,4,3,17,2,4,50,0
EMP-010144,Engineering,Senior,49,Female,Full-Time,10,9,1,2,118478,3,5,4,0,19,5,25,0
EMP-010145,Marketing,Mid,41,Female,Full-Time,4,3,0,1,76481,5,4,4,2,10,3,0,0
EMP-010146,Legal,Mid,24,Male,Full-Time,11,8,1,5,69887,5,5,1,8,26,5,100,0
EMP-010147,HR,VP,25,Male,Full-Time,1,0,0,4,209864,3,2,5,11,5,2,75,0
EMP-010148,Operations,Senior,58,Male,Contract,11,5,1,1,130678,5,5,3,17,33,3,0,0
EMP-010149,Legal,Junior,38,Female,Full-Time,12,7,0,4,63353,4,5,2,5,32,5,50,0
EMP-010150,Engineering,Manager,36,Male,Part-Time,1,0,0,0,134763,5,5,5,8,4,3,25,0
EMP-010151,HR,Manager,45,Male,Full-Time,9,4,0,2,95637,5,2,1,26,8,5,25,1
EMP-010152,Engineering,Director,36,Female,Full-Time,3,2,0,1,182889,3,2,4,0,12,1,50,0
EMP-010153,Customer Support,Junior,35,Female,Full-Time,11,8,1,9,45935,2,4,3,1,23,5,100,0
EMP-010154,Customer Support,Lead,25,Male,Full-Time,4,2,1,0,102897,4,5,3,2,15,1,50,0
EMP-010155,Engineering,Lead,47,Male,Full-Time,3,2,0,2,120383,4,1,5,3,29,0,100,0
EMP-010156,Product,Junior,47,Male,Full-Time,2,1,0,1,53581,5,4,2,0,16,2,25,0
EMP-010157,Marketing,Senior,30,Male,Full-Time,6,2,0,3,111690,1,4,4,5,22,2,0,0
EMP-010158,Engineering,Mid,30,Male,Contract,0,0,0,2,57294,4,3,3,12,40,3,75,1
EMP-010159,Sales,Junior,35,Female,Full-Time,9,7,1,7,73492,3,4,1,11,23,1,50,0
EMP-010160,Product,VP,40,Female,Contract,9,8,1,0,251694,5,4,4,25,4,1,100,0
EMP-010161,Finance,Lead,31,Male,Full-Time,11,4,2,0,137680,4,2,3,9,25,2,100,0
EMP-010162,Operations,Junior,33,Female,Full-Time,6,5,1,4,71181,3,1,3,6,36,2,0,0
EMP-010163,Marketing,Senior,41,Male,Full-Time,3,1,0,1,107546,5,3,4,17,17,2,75,0
EMP-010164,Engineering,Senior,39,Male,Full-Time,2,0,0,4,96221,4,4,3,20,5,3,50,0
EMP-010165,HR,Senior,45,Female,Contract,2,0,0,2,86419,3,3,2,6,80,4,75,0
EMP-010166,Data Science,Senior,34,Female,Full-Time,2,1,0,2,99773,1,3,1,0,1,2,50,1
EMP-010167,Finance,Junior,33,Female,Full-Time,9,8,1,0,60386,4,3,4,4,20,6,75,0
EMP-010168,Sales,Senior,27,Male,Full-Time,10,4,1,0,106507,4,5,3,4,19,7,50,0
EMP-010169,Sales,Manager,35,Male,Full-Time,19,6,3,4,128821,5,1,2,36,1,2,50,0
EMP-010170,Sales,Manager,22,Male,Full-Time,4,1,0,1,131980,5,3,4,11,38,3,25,0
EMP-010171,Product,Junior,28,Female,Full-Time,12,8,0,0,65913,3,4,3,7,13,1,100,1
EMP-010172,Product,Mid,34,Male,Contract,13,8,1,0,68297,1,3,2,4,9,3,50,0
EMP-010173,Sales,Lead,22,Female,Full-Time,2,1,0,0,142488,3,3,5,0,35,2,50,0
EMP-010174,Engineering,Senior,32,Female,Full-Time,4,1,1,1,114334,4,4,3,9,41,2,50,0
EMP-010175,Sales,Lead,49,Male,Full-Time,20,7,1,0,106170,4,5,4,3,9,3,0,0
EMP-010176,Finance,Manager,43,Female,Full-Time,6,2,0,6,165580,3,4,4,2,6,2,100,0
EMP-010177,Customer Support,Director,38,Male,Contract,4,3,0,0,209488,3,4,4,15,1,3,50,0
EMP-010178,Marketing,Junior,39,Male,Full-Time,6,4,0,0,55236,3,3,4,1,23,2,0,0
EMP-010179,Finance,Junior,40,Male,Full-Time,11,6,0,2,71708,4,3,1,10,50,1,50,1
EMP-010180,Engineering,VP,49,Male,Full-Time,11,7,2,4,181439,3,2,3,4,10,4,50,0
EMP-010181,Finance,Director,33,Female,Full-Time,9,3,1,3,182644,3,4,4,2,3,1,75,0
EMP-010182,HR,Senior,46,Male,Part-Time,4,1,0,12,88163,3,4,5,9,57,4,75,0
EMP-010183,Engineering,Senior,42,Female,Full-Time,11,7,1,0,80676,4,3,3,32,3,3,100,0
EMP-010184,Sales,Junior,35,Female,Part-Time,4,1,0,12,58792,3,3,3,32,4,5,50,1
EMP-010185,Sales,Mid,34,Male,Full-Time,14,11,3,7,59684,3,5,5,2,13,5,75,0
EMP-010186,Legal,Mid,38,Male,Full-Time,4,2,0,0,69706,4,1,4,4,4,2,75,0
EMP-010187,Finance,Mid,41,Female,Part-Time,5,3,1,4,72270,3,4,4,7,3,4,100,0
EMP-010188,Operations,Lead,35,Female,Full-Time,8,4,2,4,133216,3,4,5,8,17,2,50,0
EMP-010189,Marketing,Director,37,Male,Full-Time,6,1,1,8,134955,4,4,4,4,36,4,75,1
EMP-010190,Marketing,Lead,34,Male,Full-Time,2,1,0,0,95128,3,3,4,7,19,2,0,0
EMP-010191,Sales,Manager,44,Non-Binary,Full-Time,11,7,3,1,162822,5,3,3,5,12,2,25,0
EMP-010192,Sales,Lead,35,Male,Part-Time,5,3,1,4,139809,2,3,2,20,5,0,50,0
EMP-010193,Data Science,Junior,49,Male,Full-Time,4,2,0,1,42443,5,3,4,4,12,1,50,0
EMP-010194,Marketing,Senior,28,Male,Part-Time,4,1,0,3,100652,2,2,3,19,1,4,100,0
EMP-010195,Sales,Mid,34,Female,Contract,2,0,0,7,97008,5,2,4,0,1,1,0,1
EMP-010196,Sales,Senior,31,Female,Full-Time,5,2,0,0,110504,4,3,4,4,3,3,75,0
EMP-010197,Marketing,Lead,42,Female,Full-Time,15,5,1,0,130440,4,3,5,17,5,2,50,0
EMP-010198,Engineering,VP,39,Male,Full-Time,8,4,1,0,223595,3,4,5,7,3,2,25,0
EMP-010199,Sales,Junior,30,Non-Binary,Full-Time,8,6,0,4,59232,4,4,4,15,2,2,25,0
EMP-010200,Operations,Director,52,Female,Full-Time,9,6,2,6,183714,2,3,5,7,58,0,100,0
EMP-010201,Engineering,Lead,41,Female,Full-Time,5,3,0,6,113406,4,4,3,3,14,4,25,1
EMP-010202,Operations,Senior,38,Male,Full-Time,9,3,1,0,108133,4,5,4,21,5,1,50,0
EMP-010203,Engineering,Mid,25,Female,Part-Time,2,1,0,0,73082,2,3,3,5,23,3,75,0
EMP-010204,Customer Support,Lead,41,Female,Part-Time,6,4,1,0,125876,4,3,2,6,3,2,100,0
EMP-010205,Sales,Mid,22,Male,Full-Time,5,3,1,2,83275,4,5,5,11,15,3,75,1
EMP-010206,Engineering,Lead,22,Female,Full-Time,11,7,2,4,139118,3,3,4,15,3,4,0,0
EMP-010207,Customer Support,Lead,37,Female,Full-Time,5,2,0,2,137991,2,5,2,1,14,3,0,0
EMP-010208,Marketing,Junior,37,Female,Full-Time,16,6,2,1,51276,3,4,5,5,8,6,75,1
EMP-010209,Engineering,Mid,31,Non-Binary,Full-Time,13,10,2,3,70868,3,4,4,1,5,1,100,0
EMP-010210,HR,Mid,48,Female,Full-Time,4,2,0,2,51244,5,4,1,6,25,1,0,0
EMP-010211,HR,Manager,28,Female,Full-Time,6,3,1,3,134617,3,5,1,41,8,0,100,0
EMP-010212,HR,Junior,28,Female,Full-Time,6,4,1,2,69793,3,2,4,0,11,2,75,0
EMP-010213,Sales,Junior,24,Female,Full-Time,10,3,1,2,61972,5,3,4,0,30,4,25,0
EMP-010214,Engineering,Mid,35,Female,Full-Time,17,9,0,3,56059,2,3,4,4,1,4,50,0
EMP-010215,Operations,Mid,38,Female,Full-Time,1,0,0,3,78489,4,1,3,3,2,2,25,1
EMP-010216,Engineering,Mid,40,Female,Full-Time,2,0,0,3,88784,3,3,3,0,5,4,100,0
EMP-010217,Sales,Lead,37,Female,Full-Time,7,6,0,0,138616,2,5,4,1,2,2,50,0
EMP-010218,Sales,Mid,28,Male,Full-Time,4,2,0,1,84825,5,2,4,0,7,2,50,0
EMP-010219,Sales,Manager,49,Non-Binary,Full-Time,4,3,0,3,151824,3,5,2,1,22,3,25,0
EMP-010220,Marketing,Manager,24,Female,Full-Time,4,2,1,1,114946,3,4,3,22,17,3,50,0
EMP-010221,Customer Support,Mid,22,Female,Full-Time,12,8,3,1,78025,3,4,4,0,13,4,50,0
EMP-010222,Customer Support,Manager,22,Male,Part-Time,3,2,0,4,173816,3,5,4,1,14,5,25,0
EMP-010223,Engineering,Lead,26,Male,Part-Time,11,10,1,4,109944,3,3,3,8,1,2,75,0
EMP-010224,Customer Support,Lead,48,Male,Contract,7,2,0,6,134880,5,4,2,4,21,2,75,1
EMP-010225,Engineering,Lead,38,Female,Full-Time,3,2,0,0,127393,5,4,4,5,21,2,0,0
EMP-010226,Customer Support,Mid,22,Male,Full-Time,9,5,2,5,53314,4,4,2,2,22,3,50,0
EMP-010227,Sales,Junior,40,Female,Full-Time,6,5,0,6,52340,5,4,4,6,27,2,75,0
EMP-010228,Engineering,Senior,37,Male,Full-Time,8,5,1,3,104149,3,5,3,0,10,3,50,0
EMP-010229,Product,Senior,53,Female,Full-Time,8,4,1,0,100902,1,3,3,1,33,5,75,0
EMP-010230,Operations,Senior,49,Male,Full-Time,10,3,2,4,122517,3,5,3,0,36,4,50,0
EMP-010231,Marketing,Senior,43,Female,Full-Time,3,1,0,2,91743,3,4,3,3,7,2,100,0
EMP-010232,Engineering,Junior,22,Female,Full-Time,10,5,1,5,63042,5,5,2,17,11,2,0,0
EMP-010233,Engineering,Manager,28,Female,Contract,2,0,0,1,146802,4,2,1,9,17,3,25,0
EMP-010234,Operations,VP,27,Female,Full-Time,6,2,1,1,226929,2,3,1,5,19,3,50,1
EMP-010235,Product,Lead,47,Female,Full-Time,7,2,1,1,121369,3,2,1,19,5,5,100,0
EMP-010236,Legal,Mid,31,Male,Full-Time,4,2,0,0,84914,5,4,4,3,3,4,25,0
EMP-010237,Finance,Lead,51,Female,Full-Time,5,4,1,12,113181,3,1,4,5,17,0,50,1
EMP-010238,Sales,Junior,27,Male,Full-Time,2,1,0,2,49558,5,2,4,3,17,2,0,0
EMP-010239,Engineering,VP,42,Female,Part-Time,3,1,0,3,237207,1,3,4,3,1,3,0,0
EMP-010240,Sales,Lead,23,Male,Full-Time,4,2,0,2,109041,5,4,4,0,25,0,50,0
EMP-010241,Customer Support,Lead,53,Female,Full-Time,15,14,0,1,116734,3,3,3,12,21,3,50,0
EMP-010242,Operations,Mid,43,Male,Full-Time,8,6,0,8,84536,3,5,1,0,3,1,50,0
EMP-010243,Product,Lead,33,Non-Binary,Full-Time,3,2,0,1,122110,4,5,2,1,9,4,100,0
EMP-010244,Engineering,Manager,37,Male,Full-Time,9,5,2,1,134253,4,4,4,1,8,2,50,0
EMP-010245,Engineering,Senior,34,Female,Full-Time,3,1,0,0,106481,1,4,2,2,27,3,0,0
EMP-010246,HR,VP,40,Female,Part-Time,1,0,0,3,243800,4,4,3,16,4,3,0,0
EMP-010247,Operations,Senior,35,Non-Binary,Full-Time,10,4,0,1,119256,5,3,3,11,8,2,25,0
EMP-010248,Sales,Mid,44,Male,Full-Time,13,5,0,9,67634,3,4,3,1,4,3,25,0
EMP-010249,HR,Junior,31,Female,Full-Time,8,3,0,0,55607,2,4,5,22,3,2,75,0
EMP-010250,Customer Support,Senior,22,Male,Full-Time,5,3,0,2,105330,4,3,5,10,1,7,50,0
EMP-010251,Operations,Junior,36,Male,Full-Time,5,1,1,3,49475,4,3,2,5,1,2,50,0
EMP-010252,Sales,Senior,37,Female,Full-Time,7,3,1,1,115216,3,4,3,2,9,2,100,0
EMP-010253,HR,Senior,46,Male,Full-Time,8,3,1,0,118126,3,4,3,13,9,2,100,0
EMP-010254,Finance,Lead,40,Female,Full-Time,4,3,0,0,70384,3,1,3,22,25,3,0,1
EMP-010255,HR,Director,46,Male,Full-Time,3,0,0,2,195866,3,2,4,0,31,0,100,0
