Property_ID,Listing_Year,City,Neighborhood_Type,Property_Type,Bedrooms,Bathrooms,Square_Footage,Lot_Size_SqFt,Year_Built,Garage_Spaces,Has_Pool,Has_Basement,Condition,School_District_Rating,Walk_Score,HOA_Monthly_Fee,Num_Listing_Photos,Days_On_Market,Sale_Price_USD
PROP-020100,2021,New York,Downtown,Condo,2,1.0,795,1255,1970,1,0,0,Fair,1,69,336.0,22,62,481048
PROP-020101,2023,Los Angeles,Suburban,Single Family,3,3.5,1695,5051,2013,0,1,1,Good,4,39,0.0,23,30,881989
PROP-020102,2020,Miami,Rural,Single Family,3,2.0,724,2482,1921,0,0,1,Good,8,13,196.0,21,43,302384
PROP-020103,2023,New York,Rural,Multi-Family,3,2.5,978,3222,1949,0,0,1,Good,6,63,0.0,23,2,540862
PROP-020104,2023,Miami,University Area,Multi-Family,3,2.0,1495,6513,1962,1,0,0,Excellent,8,88,0.0,22,7,798276
PROP-020105,2023,San Diego,Suburban,Condo,3,3.5,1177,3929,1925,1,0,1,Fair,4,64,293.0,23,5,462341
PROP-020106,2023,Houston,Waterfront,Single Family,5,3.5,2136,10094,1992,3,0,1,Fair,3,36,78.0,23,38,577572
PROP-020107,2024,Chicago,Suburban,Condo,3,2.0,1626,5263,2017,1,1,0,Good,7,48,679.0,27,78,420556
PROP-020108,2022,Austin,Suburban,Condo,2,2.0,931,3390,2023,2,0,1,Good,4,57,118.0,20,18,247054
PROP-020109,2023,Seattle,Suburban,Single Family,3,2.0,1866,8166,1947,0,0,1,Good,7,47,0.0,23,8,858690
PROP-020110,2021,Philadelphia,University Area,Condo,4,1.5,1513,4625,2005,2,1,0,Fair,4,79,409.0,24,66,305384
PROP-020111,2022,Chicago,Suburban,Duplex,4,1.0,1765,7913,1981,1,0,0,Needs Renovation,2,54,0.0,16,100,357897
PROP-020112,2021,San Diego,University Area,Duplex,2,3.0,816,1234,1937,1,0,1,Good,10,26,0.0,24,1,580584
PROP-020113,2022,Dallas,Urban,Multi-Family,3,2.0,1373,3827,2002,2,0,0,Fair,3,80,244.0,25,58,338555
PROP-020114,2023,San Antonio,Historic District,Townhouse,3,1.5,1590,6085,1980,2,0,1,Excellent,4,71,0.0,16,65,367471
PROP-020115,2023,New York,Suburban,Single Family,2,3.0,971,4119,1945,1,0,1,Excellent,7,50,0.0,19,8,626835
PROP-020116,2020,Chicago,Rural,Single Family,4,3.0,1732,5501,1969,1,0,0,Good,9,58,0.0,28,78,351795
PROP-020117,2023,Los Angeles,Downtown,Multi-Family,4,2.5,1455,5467,1943,2,0,0,Excellent,1,44,188.0,26,17,1072530
PROP-020118,2021,Miami,Historic District,Multi-Family,3,2.0,1478,4267,1983,2,0,0,Excellent,2,71,76.0,22,75,972260
PROP-020119,2024,Los Angeles,Downtown,Condo,3,2.0,1550,3985,2016,2,0,1,Fair,4,58,75.0,27,35,793702
PROP-020120,2024,Chicago,Suburban,Condo,3,1.5,1662,5707,2023,3,0,1,Excellent,4,4,370.0,28,1,492858
PROP-020121,2021,Austin,Rural,Single Family,2,3.0,1503,5134,1980,2,0,0,Fair,8,51,61.0,20,236,275358
PROP-020122,2024,Seattle,Suburban,Condo,2,4.0,1139,3387,2009,2,0,0,Good,4,34,389.0,23,53,448028
PROP-020123,2020,San Antonio,Suburban,Townhouse,1,2.0,1196,4840,1967,1,0,0,Good,10,61,0.0,16,10,288874
PROP-020124,2020,Los Angeles,Downtown,Single Family,5,2.0,1917,5848,1965,1,0,1,Needs Renovation,3,49,0.0,34,1,1013292
PROP-020125,2023,Chicago,Downtown,Single Family,4,2.0,824,3340,1971,1,0,0,Excellent,10,53,0.0,23,29,343084
PROP-020126,2021,Dallas,Rural,Single Family,1,2.0,751,2942,1975,3,0,0,Needs Renovation,3,41,0.0,17,36,132435
PROP-020127,2020,Philadelphia,University Area,Single Family,2,2.0,1124,2123,1975,0,0,1,Good,8,74,0.0,22,25,406074
PROP-020128,2022,Chicago,Waterfront,Single Family,3,2.0,1890,2998,1982,0,1,0,Excellent,7,40,0.0,19,11,976572
PROP-020129,2023,Miami,Rural,Duplex,5,2.5,1793,6899,1990,1,0,0,Excellent,7,72,0.0,22,14,606500
PROP-020130,2023,Houston,Historic District,Condo,1,3.0,731,2749,1983,1,0,1,Needs Renovation,1,3,485.0,19,36,133231
PROP-020131,2022,New York,Suburban,Single Family,4,4.0,2826,9003,1979,1,0,1,Good,8,33,0.0,20,21,1840849
PROP-020132,2023,Chicago,Urban,Multi-Family,3,2.5,1376,5420,2006,3,0,0,Excellent,4,35,193.0,26,22,635521
PROP-020133,2020,New York,Suburban,Single Family,4,2.5,1639,3520,2012,0,0,0,Good,10,30,0.0,18,1,962554
PROP-020134,2020,Philadelphia,Waterfront,Condo,2,2.0,722,1492,2005,0,0,0,Good,7,45,108.0,24,10,272884
PROP-020135,2021,San Diego,Historic District,Single Family,2,2.0,845,2470,1996,2,1,1,Fair,9,83,0.0,19,35,552192
PROP-020136,2022,Houston,Suburban,Single Family,3,3.0,1154,4314,1953,1,1,0,Good,7,52,0.0,17,82,296537
PROP-020137,2023,Chicago,Historic District,Duplex,4,2.0,1604,7844,2019,2,0,0,Good,1,37,0.0,24,16,492775
PROP-020138,2021,Seattle,Suburban,Condo,2,2.0,955,4379,1974,1,0,0,Good,7,42,358.0,22,82,405287
PROP-020139,2023,Houston,Rural,Single Family,2,1.0,512,1093,1974,2,1,0,Good,5,47,0.0,28,3,159893
PROP-020140,2020,San Antonio,Waterfront,Single Family,2,3.5,1043,4582,2023,2,1,1,Good,1,26,0.0,28,37,385154
PROP-020141,2020,Dallas,Suburban,Single Family,4,1.0,1565,6726,1980,1,0,0,Needs Renovation,8,18,0.0,14,71,270857
PROP-020142,2021,Chicago,Suburban,Single Family,4,2.5,1445,2729,1986,0,1,0,Needs Renovation,5,61,94.0,26,82,308979
PROP-020143,2023,Miami,Rural,Single Family,3,2.5,920,3834,1963,1,0,1,Fair,10,13,94.0,20,11,282230
PROP-020144,2021,Dallas,Suburban,Townhouse,2,3.0,756,3621,1954,0,0,0,Fair,3,52,0.0,24,45,151650
PROP-020145,2020,Houston,Suburban,Condo,3,1.0,1537,6779,1978,2,0,1,Good,6,87,308.0,19,66,293781
PROP-020146,2024,San Antonio,Suburban,Condo,2,1.5,1236,3808,1997,1,0,1,Excellent,1,66,873.0,19,77,261180
PROP-020147,2024,San Diego,Urban,Single Family,2,2.5,786,3264,1993,1,0,0,Good,10,63,155.0,18,1,528352
PROP-020148,2020,Miami,Urban,Multi-Family,2,3.0,1346,5891,1971,3,0,1,Good,4,35,0.0,23,66,539186
PROP-020149,2021,San Antonio,Suburban,Multi-Family,6,1.0,2665,12676,2012,2,0,1,Excellent,2,55,0.0,20,42,591720
PROP-020150,2022,San Diego,Rural,Multi-Family,3,3.0,1445,2780,2006,1,1,0,Good,1,92,96.0,20,19,421255
PROP-020151,2023,Chicago,Downtown,Single Family,2,2.5,940,1447,1987,2,0,1,Good,9,46,72.0,22,162,417009
PROP-020152,2021,Chicago,Suburban,Condo,2,2.5,963,3457,1985,2,0,1,Fair,3,23,342.0,24,13,212271
PROP-020153,2022,Philadelphia,Suburban,Single Family,1,2.0,1015,4581,1978,0,1,0,Fair,9,34,0.0,31,34,317676
PROP-020154,2023,Austin,Urban,Townhouse,3,3.0,1500,4819,1937,0,0,1,Good,6,47,147.0,30,41,433981
PROP-020155,2021,Los Angeles,Historic District,Single Family,2,3.0,919,1604,1974,1,0,0,Good,9,39,0.0,23,5,482660
PROP-020156,2023,Chicago,Historic District,Single Family,3,4.0,1226,4655,1984,0,0,0,Good,6,60,0.0,16,25,378445
PROP-020157,2023,Miami,Downtown,Multi-Family,3,2.0,1310,6371,2013,0,1,0,Good,8,40,69.0,17,1,773383
PROP-020158,2024,Los Angeles,Urban,Single Family,3,2.0,1547,4420,2014,0,0,0,Good,3,91,0.0,22,19,640588
PROP-020159,2024,Chicago,Suburban,Townhouse,2,2.5,681,1909,2008,2,0,1,Good,2,77,0.0,18,19,199361
PROP-020160,2022,Austin,Suburban,Condo,2,2.5,1158,4517,1977,3,0,0,Good,4,65,479.0,17,2,262235
PROP-020161,2024,New York,Suburban,Single Family,3,3.0,1648,7682,2000,0,0,0,Excellent,7,68,194.0,28,54,896607
PROP-020162,2021,New York,Historic District,Multi-Family,4,2.5,2243,9621,1962,2,0,0,Excellent,3,53,0.0,18,80,1624005
PROP-020163,2022,Houston,Urban,Single Family,3,3.0,1610,7895,1971,1,0,0,Excellent,6,9,0.0,25,1,537391
PROP-020164,2024,Seattle,Suburban,Condo,3,3.5,1028,4107,2008,0,0,0,Fair,8,69,526.0,25,30,331794
PROP-020165,2022,Houston,Suburban,Townhouse,4,2.5,1746,3950,1970,1,0,0,Excellent,4,41,0.0,29,19,370843
PROP-020166,2020,New York,Suburban,Duplex,3,1.5,1675,8273,1982,1,0,0,Fair,10,37,55.0,21,12,809668
PROP-020167,2022,Phoenix,Rural,Condo,3,2.5,1226,2981,1963,1,0,1,Good,10,47,299.0,21,20,283597
PROP-020168,2022,Chicago,Urban,Townhouse,2,2.0,1539,2903,1946,1,1,1,Good,2,40,0.0,27,85,463861
PROP-020169,2023,Dallas,Urban,Single Family,4,1.5,1438,3774,1987,1,0,0,Good,7,44,0.0,26,2,364646
PROP-020170,2022,New York,Urban,Condo,3,2.5,1102,2752,1986,2,0,0,Fair,2,32,477.0,19,19,483094
PROP-020171,2024,Los Angeles,Waterfront,Single Family,4,2.0,737,1201,1967,1,0,0,Good,6,40,162.0,21,9,547179
PROP-020172,2021,Miami,Rural,Townhouse,4,1.5,2102,9947,1998,3,0,0,Good,9,47,0.0,25,6,570443
PROP-020173,2021,New York,Historic District,Condo,4,1.0,1710,5508,1980,1,0,1,Excellent,4,62,265.0,28,23,1079444
PROP-020174,2023,San Antonio,Suburban,Single Family,2,2.0,816,2605,2023,0,0,0,Fair,7,61,0.0,28,61,178680
PROP-020175,2023,Philadelphia,Suburban,Condo,3,2.5,1988,9547,2008,0,0,0,Excellent,2,84,356.0,27,52,408187
PROP-020176,2022,Chicago,Rural,Townhouse,5,3.0,2129,4212,1963,2,0,0,Excellent,6,61,61.0,19,46,421735
PROP-020177,2022,San Antonio,Suburban,Condo,5,3.5,2393,10524,2023,2,1,1,Fair,10,43,301.0,16,54,394298
PROP-020178,2020,Houston,Downtown,Single Family,4,1.5,1686,6450,1993,2,0,1,Needs Renovation,5,81,0.0,20,2,296395
PROP-020179,2022,Los Angeles,Suburban,Condo,6,1.0,2273,6205,1968,1,0,1,Excellent,7,78,398.0,22,2,1036824
PROP-020180,2021,San Antonio,Downtown,Single Family,5,1.0,2183,4118,2022,1,0,0,Needs Renovation,5,39,152.0,23,21,359281
PROP-020181,2023,Dallas,Suburban,Single Family,4,1.5,1300,3813,1961,2,1,1,Needs Renovation,2,57,286.0,22,12,252814
PROP-020182,2023,Seattle,Suburban,Single Family,1,2.0,400,1858,2010,0,1,0,Fair,8,39,0.0,23,111,247355
PROP-020183,2020,San Antonio,Urban,Townhouse,5,1.0,1772,8101,1920,3,0,0,Good,7,55,0.0,26,13,407271
PROP-020184,2021,Philadelphia,Rural,Multi-Family,3,2.5,1358,6447,1975,3,1,0,Good,7,24,0.0,31,20,335738
PROP-020185,2020,San Diego,Urban,Duplex,3,3.0,1690,6520,1982,0,1,1,Excellent,7,37,0.0,26,87,894691
PROP-020186,2024,Austin,Urban,Townhouse,5,2.0,1972,9070,1970,1,0,1,Excellent,6,62,0.0,25,4,657858
PROP-020187,2024,San Diego,Historic District,Single Family,3,3.5,1499,6366,2023,0,0,1,Good,10,25,0.0,26,37,626517
PROP-020188,2020,New York,Suburban,Duplex,4,3.0,1903,3895,2020,2,0,1,Good,9,44,0.0,31,10,1395755
PROP-020189,2024,Chicago,Waterfront,Single Family,2,1.0,830,2169,1985,1,0,0,Good,4,80,122.0,24,1,350655
PROP-020190,2021,Los Angeles,Suburban,Single Family,1,3.0,416,913,2023,1,1,0,Good,4,70,0.0,24,13,274167
PROP-020191,2024,New York,Historic District,Single Family,4,3.0,1329,6042,1955,0,0,0,Excellent,4,58,0.0,23,104,969081
PROP-020192,2020,Los Angeles,Urban,Condo,3,2.0,1372,3484,2011,3,0,1,Excellent,1,44,527.0,23,5,655161
PROP-020193,2024,Austin,Urban,Single Family,6,1.5,2713,13319,2002,0,1,1,Good,3,95,0.0,29,18,864426
PROP-020194,2022,Austin,Urban,Condo,3,2.5,1552,2946,1958,1,0,0,Excellent,2,45,393.0,26,35,458429
PROP-020195,2023,Los Angeles,Historic District,Single Family,1,2.5,400,1081,1978,2,0,1,Needs Renovation,7,17,0.0,24,53,258470
PROP-020196,2021,Los Angeles,Downtown,Condo,3,1.5,1475,6561,1997,1,0,0,Good,10,44,333.0,12,13,646690
PROP-020197,2024,Phoenix,Suburban,Single Family,2,2.0,1198,4203,2004,1,0,0,Good,8,19,0.0,18,11,321166
PROP-020198,2023,New York,Downtown,Townhouse,3,2.5,1334,6126,1947,0,0,0,Needs Renovation,10,68,0.0,21,12,645441
PROP-020199,2024,San Diego,University Area,Condo,3,2.0,1197,5594,1998,1,0,0,Excellent,10,78,87.0,24,39,632171
PROP-020200,2022,Philadelphia,Historic District,Condo,2,3.0,640,2741,1981,1,0,1,Good,2,57,299.0,23,17,177875
PROP-020201,2023,Austin,Suburban,Multi-Family,2,3.0,1253,4014,1985,1,0,1,Fair,6,56,0.0,27,111,459428
PROP-020202,2023,Houston,University Area,Townhouse,5,3.5,2558,4464,1963,0,0,0,Excellent,5,54,0.0,27,99,693508
PROP-020203,2022,Houston,Urban,Single Family,2,1.5,400,1988,1982,1,0,1,Excellent,10,84,49.0,22,94,201228
PROP-020204,2020,Phoenix,Downtown,Duplex,3,3.0,966,3567,2023,1,1,1,Fair,1,59,0.0,25,58,264088
PROP-020205,2023,Houston,Urban,Single Family,2,3.0,900,3225,1978,3,0,1,Fair,1,15,0.0,22,5,217864
PROP-020206,2022,Austin,Suburban,Condo,4,2.5,1876,3923,1963,2,1,0,Good,10,70,321.0,19,16,553089
PROP-020207,2022,Seattle,Urban,Single Family,3,1.0,1296,4099,1903,1,1,0,Good,4,64,0.0,24,12,746161
PROP-020208,2023,Miami,Historic District,Single Family,4,2.0,1749,4469,2007,2,1,0,Fair,5,63,0.0,23,29,713486
PROP-020209,2022,New York,University Area,Single Family,3,2.0,1577,5017,2004,1,0,1,Needs Renovation,9,48,225.0,28,91,622839
PROP-020210,2024,Miami,University Area,Condo,4,2.5,2081,9829,1984,0,1,0,Excellent,4,75,465.0,28,2,684136
PROP-020211,2022,Miami,Urban,Single Family,2,2.5,927,1683,1976,0,0,1,Excellent,5,22,0.0,18,37,425823
